Brand Model,Interface,Form Factor,Capacities,Controller,Configuration,DRAM,HMB,NAND Brand,NAND Type,Layers,"R/W (Up to, in MB/s)",Categories
Seagate FireCuda 540,x4 PCIe 5.0/NVMe,M.2,1TB-4TB,Phison E26,"Dual DC R5 + 3xCoX, 8-ch, 4-CE/ch",Yes,N/A,Micron,TLC,232,10000/10000,High-End NVMe
Seagate Game Drive PS5,x4 PCIe 4.0/NVMe,M.2,1TB-2TB,Phison E18,"Triple R5 + CoX, 8-ch, 4-CE/ch",,,,,,,
Seagate One Touch SSD,USB 3.2 Gen 1x1,USB-C,500GB-1TB,Phison S10,"Quad-core, 8-ch, 4-CE/ch",Yes,N/A,Kioxia,TLC,64,400/400,Mid-Range SATA
Seagate One Touch SSD NVMe,USB 3.2 Gen 2x1,USB-C,500GB-2TB,,,,,,,,1030/1030,Entry-Level NVMe
Seagate BarraCuda Q1,SATA/AHCI,"2.5""",240GB-960GB,Phison S11,"Single-core, 2-ch, 8-CE/ch",No,N/A,,QLC,,550/500,Entry-Level SATA
Seagate BarraCuda Q5,x4 PCIe 3.0/NVMe,M.2,500GB-2TB,Phison E13T,"Single-core, 4-ch, 8-CE/ch",No,Yes,Intel,QLC,96,2400/1800,Entry-Level NVMe
Silicon Power A55/S55,SATA/AHCI,"2.5"" & M.2",60GB-1TB,SMI SM2258XT,"Single-core, 4-ch, 4-CE/ch",No,N/A,Micron,TLC,64,560/530,Entry-Level SATA
Silicon Power A58,SATA/AHCI,"2.5""",128GB-512GB,Phison S11,"Single-core, 2-ch, 8-CE/ch",No,N/A,Kioxia,TLC,64,480/510,Entry-Level SATA
Silicon Power Bolt B75 Pro,USB 3.2 Gen 2x1,USB-C,250GB-2TB,Phison S11,"Single-core, 2-ch, 8-CE/ch",No,N/A,Kioxia,TLC,64,520/420,Entry-Level SATA
Silicon Power DS72,USB 3.2 Gen 2x1,USB-C,250GB-1TB,,,,,,,,1050/850,
Silicon Power MS70,USB 3.2 Gen 2x1,USB-A,250GB-2TB,,,,,,,,1050/850,
Silicon Power P32A80,x2 PCIe 3.0/NVMe,M.2,128GB-512GB,Phison E8T,"Dual-core, 4-ch, 8-CE/ch",No,Yes,Kioxia,TLC,64,1600/1000,Entry-Level NVMe
Silicon Power P34A60,x4 PCIe 3.0/NVMe,M.2,256GB-2TB,SM2263XT,"Dual-core, 4-ch, 4-CE/ch",No,Yes,Micron/Kioxia,TLC,96,2200/1600,Entry-Level NVMe
Silicon Power P34A80,x4 PCIe 3.0/NVMe,M.2,256GB-1TB,Phison E12S,"Dual R5 + CoX, 8-ch, 4-CE/ch",Yes,No,Kioxia,TLC,64,3200/3000,Mid-Range NVMe
Silicon Power PC60,USB 3.2 Gen 2x1,USB-C,1.92TB,SM2259XT,"Single-core, 4-ch, 4-CE/ch",No,N/A,Micron,TLC,96,540/500,Entry-Level SATA
Silicon Power PX10,USB 3.2 Gen 2x1,USB-C,512GB-4TB,,,,,,,,1050/1050,
Silicon Power UD70,x4 PCIe 3.0/NVMe,M.2,500GB-2TB,Phison E12S,"Dual R5 + CoX, 8-ch, 4-CE/ch",Yes,No,Micron,QLC,96,3400/3000,Mid-Range NVMe
Silicon Power UD80,x4 PCIe 3.0/NVMe,M.2,250GB-2TB,Innogrit IG5216,"Dual-core, 4x4",No,Yes,,TLC,,3400/3000,Entry-Level NVMe
Silicon Power UD85,x4 PCIe 4.0/NVMe,M.2,250GB-2TB,Phison E19T,"Single R5 + CoX, 4-ch, 8-CE/ch",No,Yes,YMTC,TLC,,3600/2800,Entry-Level NVMe
Silicon Power UD90,x4 PCIe 4.0/NVMe,M.2,250GB-4TB,Phison E21T,"Single R5, 4-ch, 4-CE/ch",No,Yes,Micron,TLC,176,4800/4200,Mid-Range NVMe
Silicon Power UD90 2230,x4 PCIe 4.0/NVMe,M.2,500GB-2TB,Phison E21T,"Single R5, 4-ch, 4-CE/ch",No,Yes,Micron,QLC,176,5000/3200,Mid-Range NVMe
Silicon Power US70,x4 PCIe 4.0/NVMe,M.2,1TB-2TB,Phison E16,"Dual R5 + CoX, 8-ch, 4-CE/ch",Yes,No,Kioxia,TLC,96,5000/4400,Mid-Range NVMe
Silicon Power US75,x4 PCIe 4.0/NVMe,M.2,500GB-4TB,Maxio MAP1602,"R5, 4x8",No,Yes,YMTC,TLC,232,7000/6500,
Silicon Power US85,x4 PCIe 5.0/NVMe,,,,,,,,,,12000/10000,High-End NVMe
Silicon Power XD80,x4 PCIe 3.0/NVMe,M.2,256GB-2TB,Phison E12S,"Dual R5 + CoX, 8-ch, 4-CE/ch",Yes,No,Kioxia,TLC,96,3400/3000,Mid-Range NVMe
Silicon Power XS80,x4 PCIe 5.0/NVMe,M.2,1TB-2TB,Phison E26,"Dual DC R5 + 3xCoX, 8-ch, 4-CE/ch",Yes,N/A,Micron,TLC,232,10000/10000,High-End NVMe
Silicon Power XS70,x4 PCIe 4.0/NVMe,M.2,1TB-4TB,Phison E18,"Triple R5 + CoX, 8-ch, 4-CE/ch",Yes,N/A,Micron,TLC,176,7300/6800,High-End NVMe
Solidigm P41 Plus,x4 PCIe 4.0/NVMe,M.2,512GB-2TB,SMI SM2269XT,"Dual-core R8, 4-ch",No,Yes,Solidigm,QLC,144,4125/3325,Entry-Level NVMe
Solidigm P42 Plus,x4 PCIe 4.0/NVMe,M.2,1TB-4TB,SMI SM2269XT,"Dual-core R8, 4-ch",No,Yes,Solidigm,QLC,192,,
Solidigm P44 Pro,x4 PCIe 4.0/NVMe,M.2,512GB-2TB,Aries,"R8 + M7 + 2xR8, 8x4",Yes,No,Hynix,TLC,176,7000/6500,High-End NVMe
TC Sunbow X3,SATA/AHCI,"2.5""",60GB-1TB,SMI SM2258,"Single-core, 4-ch, 8-CE/ch",?,N/A,Micron,TLC,64,560/510,Mid-Range SATA
Team Cardea II,x4 PCIe 3.0/NVMe,M.2,256GB-1TB,Phison E12S,"Dual R5 + CoX, 8-ch, 4-CE/ch",Yes,No,Micron,TLC,64,3400/3000,Mid-Range NVMe
Team Cardea A440,x4 PCIe 4.0/NVMe,M.2,1TB-2TB,Phison E18,"Triple R5 + CoX, 8-ch, 4-CE/ch",Yes,N/A,Micron,TLC,96,7000/6900,High-End NVMe
Team Cardea A440 Lite,x4 PCIe 4.0/NVMe,M.2,,Phison E27T,"Single R5 + CoX, 4-CH, 4-CE/ch",No,Yes,Kioxia,TLC,162,7400/6400,
Team Cardea A440 Pro,x4 PCIe 4.0/NVMe,M.2,1TB-4TB,Phison E18,"Triple R5 + CoX, 8-ch, 4-CE/ch",Yes,N/A,Micron,TLC,176,7400/7000,High-End NVMe
Team Cardea Ceramic C440,x4 PCIe 4.0/NVMe,M.2,1TB-2TB,Phison E16,"Dual R5 + CoX, 8-ch, 4-CE/ch",Yes,No,Kioxia,TLC,96,5000/4400,Mid-Range NVMe
Team IOPS,x4 PCIe 3.0/NVMe,M.2,1TB,,,Yes,No,,TLC,,3400/3000,Mid-Range NVMe
Team Cardea Liquid,x4 PCIe 3.0/NVMe,M.2,256GB-1TB,Phison E12S,"Dual R5 + CoX, 8-ch, 4-CE/ch",Yes,No,Kioxia,TLC,64,3400/3000,Mid-Range NVMe
Team Cardea Z44Q,x4 PCIe 4.0/NVMe,M.2,2TB-4TB,Phison E16,"Dual R5 + CoX, 8-ch, 4-CE/ch",Yes,No,Intel,QLC,96,5000/4000,Mid-Range NVMe
Team Cardea Zero,x4 PCIe 4.0/NVMe,M.2,256GB-1TB,Phison E16,"Dual R5 + CoX, 8-ch, 4-CE/ch",Yes,No,Kioxia,TLC,96,4800/4000,Mid-Range NVMe
Team Cardea Zero Z330,x4 PCIe 3.0/NVMe,M.2,512GB-2TB,Phison E13T,"Single-core, 4-ch, 8-CE/ch",No,Yes,Kioxia,TLC,64/96,2100/1700,Entry-Level NVMe
Team Cardea Zero Z440,x4 PCIe 4.0/NVMe,M.2,1TB-2TB,Phison E16,"Dual R5 + CoX, 8-ch, 4-CE/ch",Yes,No,Kioxia,TLC,96,5000/4400,Mid-Range NVMe
Team Delta RGB,SATA/AHCI,"2.5""",250GB-1TB,SMI SM2258,"Single-core, 4-ch, 8-CE/ch",Yes,N/A,Micron,TLC,32/64,560/510,Mid-Range SATA
Team Delta TUF,SATA/AHCI,"2.5""",500GB-1GB,,,,,,,,560/510,
Team AX1,SATA/AHCI,"2.5""",240GB-960GB,,,,,,,,540/490,
Team AX2,SATA/AHCI,"2.5""",256GB-2TB,,"Single-core, 4-ch, 4-CE/ch",,,,,,540/490,
Team EX2,SATA/AHCI,"2.5""",512GB-2TB,SMI SM2258XT,"Single-core, 4-ch, 4-CE/ch",No,N/A,Hynix,TLC,72,550/520,Entry-Level SATA
Team CX1,SATA/AHCI,"2.5""",240GB-960GB,,,,,,,,,
Team CX2,SATA/AHCI,"2.5""",256GB-2TB,SMI SM2258XT,"Single-core, 4-ch, 4-CE/ch",No,N/A,,TLC,64,540/490,Entry-Level SATA
Team GE Pro,x4 PCIe 5.0/NVMe,M.2,,InnoGrit IG5666,,Yes,No,Micron,TLC,232,14000/11800,High-End NVMe
Team G50,x4 PCIe 4.0/NVMe,M.2,512GB-2TB,,"Quad-core, 8-ch",No,Yes,,,,5000/4800,Mid-Range NVMe
Team G50 PRO,x4 PCIe 4.0/NVMe,M.2,512GB-2TB,InnoGrit IG5236,"Quad-core, 8-ch",Yes,N/A,,,,5000/4800,Mid-Range NVMe
Team G70,x4 PCIe 4.0/NVMe,M.2,512GB-4TB,,"Quad-core, 8-ch",No,Yes,,,,7400/6800,High-End NVMe
Team G70 PRO,x4 PCIe 4.0/NVMe,M.2,512GB-4TB,InnoGrit IG5236,"Quad-core, 8-ch",Yes,N/A,,,,7400/6800,High-End NVMe
Team GX1,SATA/AHCI,"2.5""",120GB-960GB,Phison S11,"Single-core, 2-ch, 8-CE/ch",No,N/A,SanDisk/Kioxia,TLC,64,530/480,Entry-Level SATA
Team GX2,SATA/AHCI,"2.5""",128GB-2TB,SMI SM2258XT,"Single-core, 4-ch, 4-CE/ch",No,N/A,Micron,TLC,64,550/500,Entry-Level SATA
Team I54,x4 PCIe 5.0/NVMe,M.2,,,,,,,,,,
Team L3 EVO,SATA/AHCI,"2.5""",120GB-960GB,Phison S11,"Single-core, 2-ch, 8-CE/ch",No,N/A,Kioxia,TLC,64,530/500,Entry-Level SATA
Team L5 Lite (2D),SATA/AHCI,"2.5""",60GB-1TB,SMI SM2256S,"Single-core, 4-ch, 8-CE/ch",No,N/A,Micron,TLC,N/A,530/480,Garbage
Team L5 Lite 3D,SATA/AHCI,"2.5""",120GB-1TB,SMI SM2258,"Single-core, 4-ch, 8-CE/ch",Yes,N/A,Varies,TLC,32/64,500/480,Mid-Range SATA
Team MP32,x2 PCIe 3.0/NVMe,M.2,128GB-1TB,Phison E8,"Dual-core, 4-ch, 8-CE/ch",Yes,No,Kioxia,TLC,64,1550/950,Entry-Level NVMe
Team MP33,x4 PCIe 3.0/NVMe,M.2,128GB-2TB,Phison E13T,"Single-core, 4-ch, 8-CE/ch",No,Yes,Kioxia,TLC,64/96,1800/1500,Entry-Level NVMe
Team MP33 Pro,x4 PCIe 3.0/NVMe,M.2,512GB-2TB,SMI SM2263XT,"Dual-core, 4-ch, 4-CE/ch",No,Yes,Micron,TLC,96,2100/1700,Entry-Level NVMe
Team MP33Q,x4 PCIe 3.0/NVMe,M.2,512GB-2TB,SMI SM2263XT,"Dual-core, 4-ch, 4-CE/ch",No,Yes,,QLC,,2500/2100,Entry-Level NVMe
Team MP34,x4 PCIe 3.0/NVMe,M.2,256GB-4TB,Phison E12S,"Dual R5 + CoX, 8-ch, 4-CE/ch",Yes,No,Kioxia,TLC,64,3500/2900,Mid-Range NVMe
Team MP34S,x4 PCIe 4.0/NVMe,M.2,512GB-1TB,,,,,,,,2500/2200,Entry-Level NVMe
Team MP34Q,x4 PCIe 3.0/NVMe,M.2,2TB-8TB,Phison E12S,"Dual R5 + CoX, 8-ch, 4-CE/ch",Yes,N/A,Intel,QLC,96,3400/3000,Mid-Range NVMe
Team MP44,x4 PCIe 4.0/NVMe,M.2,512GB-8TB,Maxio MAP1602,,No,Yes,YMTC,TLC,232,7400/6900,High-End NVMe
Team MP44L,x4 PCIe 4.0/NVMe,M.2,250GB-2TB,Phison E21T,"Single R5, 4-ch, 4-CE/ch",No,Yes,Micron,TLC,176,5000/4500,Mid-Range NVMe
Team MP44S,x4 PCIe 4.0/NVMe,M.2,1TB-2TB,,,,,,,,5000/3500,Mid-Range NVMe
Team MP44Q,x4 PCIe 4.0/NVMe,M.2,1TB-4TB,Maxio MAP1602,"R5, 4x8",No,Yes,YMTC,QLC,232,7400/6500,Mid-Range NVMe
Team MS30,SATA/AHCI,M.2,128GB-1TB,SMI SM2258XT,"Single-core, 4-ch, 4-CE/ch",No,N/A,Micron,TLC,64,530/480,Entry-Level SATA
Team PD400,USB 3.2 Gen 1x1,USB-C,240GB-960GB,SMI SM2258,"Single-core, 4-ch, 8-CE/ch",Yes,N/A,,TLC,,430/420,Mid-Range SATA
Team PD1000,USB 3.2 Gen 2x1,USB-C,512GB-1TB,SMI SM2263XT,"Dual-core, 4-ch, 4-CE/ch",No,No,,TLC,,1000/950,Entry-Level NVMe
Team QX,SATA/AHCI,"2.5""",512GB-4TB,,,,,,,,560/500,
Team T-Create CinemaPr P31,,,,,,,,,,,,
Team T-Create Classic (NVMe),x4 PCIe 3.0/NVMe,M.2,1TB-2TB,Realtek RTS5763DL,"Dual-core, 4-ch, 8-CE/ch",No,Yes,Kioxia,TLC,96,2100/1700,Entry-Level NVMe
Team T-Create Classic (NVMe 2),x4 PCIe 4.0/NVMe,M.2,1TB-2TB,Phison E16,"Dual R5 + CoX, 8-ch, 4-CE/ch",Yes,N/A,Kioxia,TLC,96,5000/4400,Mid-Range NVMe
Team T-Create Classic PCIe 4.0 DL,x4 PCIe 4.0/NVMe,M.2,1TB-2TB,,,No,Yes,,TLC,,5000/4500,Mid-Range NVMe
Team T-Create Classic (SATA),SATA/AHCI,"2.5""",1TB,,,Yes,N/A,,TLC,,550/520,
Team T-Create Classic (TB3),TB3,TB3,1TB-4TB,,,Yes,N/A,,,,2700,
Team T-Create Classic C43,x4 PCIe 4.0/NVMe,M.2,512GB-2TB,,,,,,,,3500/3200,Entry-Level Nvme
Team T-Create Classic C45,x4 PCIe 4.0/NVMe,M.2,512GB-2TB,,,,,,,,5000/4500,Mid-Range NVMe
Team T-Create Classic C47,x4 PCIe 4.0/NVMe,M.2,512GB-4TB,,,,,,,,7400/7000,High-End NVMe
Team T-Create Expert,x4 PCIe 3.0/NVMe,M.2,1TB-2TB,SMI SM2262EN,"Dual-core, 8-ch, 4-CE/ch",Yes,N/A,Micron,TLC,64,3400/3000,High-End NVMe
Team Vulcan,SATA/AHCI,"2.5""",250GB-1TB,SMI SM2258,"Single-core, 4-ch, 8-CE/ch",Yes,N/A,Micron,TLC,64,560/510,High-End SATA
Team Vulcan G,SATA/AHCI,"2.5""",512GB-1TB,SMI SM2258XT,"Single-core, 4-ch, 4-CE/ch",No,N/A,Kioxia,TLC,64+,550/500,Entry-Level SATA
Team Vulcan Z,SATA/AHCI,"2.5""",240GB-2TB,SMI SM2259XT,"Single-core, 4-ch, 4-CE/ch",No,N/A,,TLC,,550/500,Entry-Level SATA
Team Vulzan Z QLC,SATA/AHCI,"2.5""",2TB-4TB,,,No,N/A,,QLC,,550/510,Entry-Level SATA
Team Z330,x4 PCIe 3.0/NVMe,M.2,256GB-1TB,Phison E13T,"Single-core, 4-ch, 8-CE/ch",No,Yes,Kioxia,TLC,64/96,2100/1700,Entry-Level NVMe
Team Z340,x4 PCIe 3.0/NVMe,M.2,256GB-1TB,SMI SM2262EN,"Dual-core, 8-ch, 4-CE/ch",Yes,No,Micron,TLC,,3400/3000,Mid-Range NVMe
Team Z440,x4 PCIe 4.0/NVMe,M.2,1TB-2TB,Phison E16,"Dual R5 + CoX, 8-ch, 4-CE/ch",Yes,No,Kioxia,TLC,96,5000/4400,Mid-Range NVMe
Team Z440 Lite,,,,,,,,,,,,
Team Z44A5,x4 PCIe 4.0/NVMe,M.2,512GB-2TB,Maxio MAP1602,,No,Yes,Hynix,TLC,176,5000/4500,
Team Z44L,x4 PCIe 4.0/NVMe,M.2,250GB-1TB,Phison E19T,"Single R5 + CoX, 4-ch, 8-CE/ch",No,Yes,SanDisk,TLC,96,3500/3000,Entry-Level NVMe
Team Z44Q,x4 PCIe 4.0/NVMe,M.2,2TB-4TB,Phison E16,"Dual R5 + CoX, 8-ch, 4-CE/ch",Yes,No,Intel,QLC,96,5000/3700,Mid-Range NVMe
Team Z540,x4 PCIe 5.0/NVMe,M.2,1TB-4TB,Phison E26,"Dual DC R5 + 3xCoX, 8-ch, 4-CE/ch",Yes,N/A,Micron,TLC,232,12000/10000,High-End NVMe
Team Z54A,x4 PCIe 5.0/NVMe,M.2,1TB-4TB,InnoGrit IG5666,,Yes,No,Micron,TLC,232,14000/11000,High-End NVMe
Toshiba/Kioxia RC500,x4 PCIe 3.0/NVMe,M.2,250GB-500GB,Phison E12S,"Dual R5 + CoX, 8x4",Yes,N/A,Kioxia,TLC,96,1700/1600,Entry-Level NVMe
Toshiba/Kioxia RD500,x4 PCIe 3.0/NVMe,M.2,500GB-2TB,Phison E12S,"Dual R5 + CoX, 8x4",Yes,N/A,Kioxia,TLC,96,3400/3200,Mid-Range NVMe
Toshiba/Kioxia TR200,SATA/AHCI,"2.5""",240GB-960GB,Phison S11,"Single-core, 2-ch, 8-CE/ch",No,N/A,Kioxia,TLC,64,555/540,Entry-Level SATA
Transcend ESD310C,USB 3.2 Gen 2x1,USB-C,,SMI SM2620,,,,,,,,
Transcend ESD350C,USB 3.2 Gen 2x1,USB-C,240GB-960GB,SMI SM2263XT,"Dual-core, 4-ch, 4-CE/ch",No,No,Micron,TLC,64,1050/950,Entry-Level NVMe
Transcend ESD360C,,,,,,,,,,,,
Transcend E410C,,,,,,,,,,,,
Transcend MSA452T2,SATA/AHCI,mSATA,64GB-1TB,,,Yes,N/A,,TLC,,560/520,High-End SATA
Transcend MTE310S,x4 PCIe 4.0/NVMe,M.2,512GB-1TB,,,,,,,,5000/3500,
Transcend MTE400S,x4 PCIe 3.0/NVMe,M.2,256GB-1TB,SMI SM2263XTV,"Dual-core, 4-ch, 4-CE/ch",No,Yes,,TLC,,2000/1700,Entry-Level NVMe
Transcend MTS552T2,SATA/AHCI,M.2,64GB-512GB,,,Yes,N/A,,TLC,,560/510,High-End SATA
Transcend MTE652T2,x4 PCIe 3.0/NVMe,M.2,128GB-512GB,,,Yes,No,,TLC,,2100/1000,Entry-Level NVMe
Transcend MTS952T2,SATA/AHCI,M.2,64GB-2TB,,,Yes,N/A,,TLC,,560/520,High-End SATA
Transcend SSD 110S,x4 PCIe 3.0/NVMe,M.2,256GB-1TB,SMI SM2263XT,"Dual-core, 4-ch, 4-CE/ch",No,Yes,Micron,TLC,64,1700/1500,Entry-Level NVMe
Transcend SSD 220S,x4 PCIe 3.0/NVMe,M.2,256GB-2TB,SMI SM2262EN,"Dual-core, 8-ch, 4-CE/ch",Yes,No,Micron,TLC,64,3300/2800,Mid-Range NVMe
Transcend SSD225S,SATA/AHCI,"2.5""",250GB-2TB,,,No,N/A,,,,560/500,
Transcend SSD230S,SATA/AHCI,"2.5""",128GB-2TB,SMI SM2258,"Single-core, 4-ch, 8-CE/ch",Yes,N/A,Micron,TLC,32/64,560/520,Mid-Range SATA
Transcend SSD 240S,x4 PCIe 4.0/NVMe,M.2,500GB-1TB,SMI SM2267,"DC (28nm R5), 4-ch, 8-CE/ch",Yes,No,Micron,TLC,96,3800/3200,Mid-Range NVMe
Transcend SSD 245S,x4 PCIe 4.0/NVMe,M.2,500GB-4TB,Realtek RTS5772DL,,,,,,,5300/4000,
Transcend SSD 250S/MTE250S/250H,x4 PCIe 4.0/NVMe,M.2,1TB-4TB,SMI SM2264,"QC (12nm R8), 8-ch, 8-CE/ch",Yes,N/A,Kioxia,TLC,112,7500/6700,High-End NVMe
Transcend SSD250N,SATA/AHCI,"2.5""",1TB-2TB,,,Yes,N/A,,,,560/480,
Transcend SSD420S/820S,SATA/AHCI,M.2,120-960GB,SMI SM2258XT,"Single-core, 4-ch, 4-CE/ch",No,N/A,Micron,TLC,64,550/500,Entry-Level SATA
Transcend SSD430S/830S,SATA/AHCI,M.2,128GB-1TB,SMI SM2258,"Single-core, 4-ch, 8-CE/ch",Yes,N/A,Micron,TLC,64,560/500,Mid-Range SATA
Verbatim Vi3000,x4 PCIe 3.0/NVMe,M.2,256GB-1TB,Phison E13T,"Single-core, 4-ch, 8-CE/ch",No,Yes,Kioxia,TLC,96,3100/2900,Entry-Level NVMe
Verbatim Vi7000G,x4 PCIe 4.0/NVMe,M.2,,,,,,,,,,
Verbatim Vi12000,x4 PCIe 5.0/NVMe,M.2,,,,,,,,,,
VisionTek DLX4,x4 PCIe 4.0/NVMe,M.2,512GB-2TB,InnoGrit IG5220,"Tri-core R5, 4x8",No,Yes,,,,5200/4775,Mid-Range NVMe
VisionTek DLX4 Pro,x4 PCIe 4.0/NVMe,M.2,512GB-4TB,,,Yes,N/A,,,,7415/6800,High-End NVMe
WD AN1500,x8 PCIe 3.0/NVMe,AIC,1TB-4TB,2xWD + 88NR2241,2xSN750 controller + RAID,Yes,No,SanDisk,TLC,,6500/4100,High-End NVMe
WD Black (later SN750),x4 PCIe 3.0/NVMe,M.2,250GB-2TB,WD Proprietary,"Tri-core, 8-ch, 8-CE/ch",Yes,No,SanDisk,TLC,64,3470/3000,Mid-Range NVMe
WD Blue (2D),SATA/AHCI,"2.5"" & M.2",250GB-1TB,Marvell 88SS1074,"Dual-core, 4-ch, 8-CE/ch",Yes,N/A,SanDisk,TLC,N/A,545/525,Entry-Level SATA
WD Blue 3D,SATA/AHCI,"2.5"" & M.2 (2TB)",250GB-4TB,Marvell 88SS1074,"Dual-core, 4-ch, 8-CE/ch",Yes,N/A,SanDisk,TLC,64,560/530,High-End SATA
WD D30,USB 3.2 Gen 2x1,USB-C,500GB-2TB,WD Proprietary,"Tri-core, 4-ch, 8-CE/ch",No,N/A,SanDisk,TLC,96,900/900,Entry-Level NVMe
WD Green,SATA/AHCI,"2.5"" & M.2 (480GB)",120GB-1TB,SMI SM2258XT,"Single-core, 4-ch, 4-CE/ch",No,N/A,SanDisk,TLC,N/A,545/?,Garbage
WD My Passport SSD (New),USB 3.2 Gen 2x1,USB-C,256GB-2TB,Marvell 88SS1074,"Dual-core, 4-ch, 8-CE/ch",Yes,N/A,SanDisk,TLC,64,540/?,High-End SATA
WD My Passport SSD (NVMe),USB 3.2 Gen 2x1,USB-C,500GB-4TB,WD Proprietary,"Tri-core, 4-ch, 8-CE/ch",No,N/A,SanDisk,TLC,96,1050/1000,Entry-Level NVMe
WD P40,USB 3.2 Gen 2x2,USB-C,500GB-2TB,WD Proprietary,4-Ch,No,Yes,SanDisk,TLC,,2000,Entry-Level NVMe
WD P50,USB 3.2 Gen 2x2,USB-C,500GB-2TB,WD Proprietary,"Tri-core, 8-ch, 8-CE/ch",Yes,No,SanDisk,TLC,64,2000/2000,Mid-Range NVMe
WD SA500/Red,SATA/AHCI,"2.5"" & M.2",500GB-4TB,Marvell 88SS1074,"Dual-core, 4-ch, 8-CE/ch",Yes,N/A,SanDisk,TLC,?,560/530,High-End SATA
WD SA510/Blue,SATA/AHCI,"2.5"" & M.2",250GB-1TB,SanDisk A101,"Single-core, 2-ch, 8-CE/ch",No,N/A,SanDisk,TLC,112,560/520,Entry-Level SATA
WD SN500,x2 PCIe 3.0/NVMe,M.2,250GB-500GB,WD Proprietary,"Tri-core, 4-ch, 8-CE/ch",No,No,SanDisk,TLC,64,1700/1450,Entry-Level NVMe
WD SN350,x4 PCIe 3.0/NVMe,M.2,240GB-2TB,WD Proprietary,"Tri-core, 4-ch, 8-CE/ch",No,Yes,SanDisk,TLC,96,2400/1900,Entry-Level NVMe
WD SN5000,x4 PCIe 4.0/NVMe,M.2,500GB-4TB,WD Proprietary,"Tri-core, 4-ch, 8-CE/ch",No,Yes,SanDisk,TLC,112,5500/5000,Mid-Range NVMe
WD SN550,x4 PCIe 3.0/NVMe,M.2,250GB-2TB,WD Proprietary,"Tri-core, 4-ch, 8-CE/ch",No,Yes,SanDisk,TLC,96,2400/1950,Entry-Level NVMe
WD SN570,x4 PCIe 3.0/NVMe,M.2,250GB-2TB,WD Proprietary,"R5, 4x4",No,Yes,SanDisk,TLC,112,3500/3000,Entry-Level NVMe
WD SN580,x4 PCIe 4.0/NVMe,M.2,250GB-2TB,WD Proprietary,"R5, 4x4",No,Yes,SanDisk,TLC,112,4150/4150,Entry-Level NVMe
WD SN750,x4 PCIe 3.0/NVMe,M.2,250GB-4TB,WD Proprietary,"Tri-core, 8-ch, 8-CE/ch",Yes,No,SanDisk,TLC,64,3470/3000,Mid-Range NVMe
WD SN750 SE,x4 PCIe 4.0/NVMe,M.2,250GB-1TB,Phison E19T,"Single R5 + CoX, 4-ch, 8-CE/ch",No,Yes,SanDisk,TLC,96,3600/2830,Entry-Level NVMe
WD SN770,x4 PCIe 4.0/NVMe,M.2,250GB-2TB,WD Proprietary,"R5, 4x4",No,Yes,SanDisk,TLC,112,5150/4900,Mid-Range NVMe
WD SN850,x4 PCIe 4.0/NVMe,M.2,500GB-2TB,WD Proprietary,"R5, 8x4",Yes,No,SanDisk,TLC,,7000/5300,High-End NVMe
WD SN850X,x4 PCIe 4.0/NVMe,M.2,1TB-4TB,WD Proprietary,"Tri-core, 4-ch, 8-CE/ch",Yes,N/A,SanDisk,TLC,112,7300,High-End NVMe
WD SN850P,x4 PCIe 4.0/NVMe,M.2,1TB-4TB,WD Proprietary,"Tri-core, 4-ch, 8-CE/ch",Yes,N/A,SanDisk,TLC,112,7300,High-End NVMe
Zadak Spark,x4 PCIe 3.0/NVMe,M.2,512GB-2TB,Phison E12S,"Dual R5 + CoX, 8-ch, 4-CE/ch",Yes,No,Kioxia,TLC,,3400/3000,Mid-Range NVMe
Zadak TWSG4S,x4 PCIe 4.0/NVMe,M.2,512GB-2TB,Phison E18,"Triple R5 + CoX, 8-ch, 4-CE/ch",Yes,N/A,Micron,TLC,176,7400/7000,High-End NVMe
Zadak TWSG5,x4 PCIe 5.0/NVMe,M.2,,Phison E26,"Dual DC R5 + 3xCoX, 8-ch, 4-CE/ch",Yes,N/A,,,,13000/12000,
